Opportunity_id,date,open,high,low,close,is_last_candle_of_found_pattern,is_buy_opportunity,is_sell_opportunity,succeeded,date_Buy,return_Buy,date_Sell,return_Sell,market,model,pair_name,entry_period,min_points,tolerance_points,profit_ratio,chosen_candle_date,chosen_candle_open,chosen_candle_high,chosen_candle_low,chosen_candle_close
Opportunity-28,2023-06-14,1.07929,1.08641,1.07737,1.08239,0,1,0,1,,,,,,,,,,,,,,,,
Opportunity-1,2005-01-28,1.3035,1.3079,1.2982,1.3036,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-2,2005-01-31,1.3033,1.3058,1.297,1.3033,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-3,2005-04-13,1.2918,1.2954,1.2847,1.2919,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-4,2008-08-04,1.5572,1.563,1.5555,1.5573,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-5,2008-09-18,1.4323,1.4542,1.4279,1.4323,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-6,2009-11-24,1.496,1.4989,1.4889,1.496,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-7,2009-12-25,1.4379,1.4437,1.4358,1.4378,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-8,2009-12-28,1.4378,1.4414,1.4353,1.4377,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-9,2010-01-18,1.4383,1.44,1.4333,1.4384,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-10,2011-05-03,1.4822,1.489,1.475,1.4821,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-11,2011-09-19,1.3675,1.372,1.3584,1.3675,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-12,2011-12-06,1.3401,1.3428,1.3332,1.34,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-13,2011-12-22,1.3047,1.3119,1.3015,1.3048,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-14,2012-04-30,1.324,1.3266,1.3207,1.3241,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-15,2013-02-15,1.3357,1.3393,1.3305,1.3357,1,0,0,0,,,,,,,,,,,,,,,,
Opportunity-16,2013-02-26,1.3062,1.3121,1.3017,1.3062,1,0,0,0,,,,,,,,,,,,,,,,
